label,cell_type,mean_attention,sem,count
Anterolateral visual area,ENT L6b,0.0287508964539,0.00348130854965,11
"Retrosplenial area, lateral agranular part",L5 ET,0.0287433429833,0.000244896310853,16948
Posterior auditory area,LA,0.0287219010867,0.00375939382161,13
Ventral auditory area,L5 ET,0.0285724514079,0.000156539923639,8051
Anteromedial visual area,L6 IT,0.0285052421673,0.000802976926597,1086
"Anterior cingulate area, ventral part",ENT ML,0.0284344355265,0.00120928417637,3
Postrhinal area,PIR UL,0.0283855749415,0.000688440060157,539
Anterolateral visual area,AON,0.028346513447,0.00232823241078,76
Primary visual area,RSP/ACA UL,0.028326702547,0.000654631701738,1139
"Retrosplenial area, dorsal part",L5 IT,0.0283102430441,0.0004443148608,991
Anterolateral visual area,HIP CA1,0.0282955169678,0.0,1
"Retrosplenial area, ventral part",ENT UL,0.0281813144684,0.00093680787518,8
"Agranular insular area, posterior part",L6b/CT,0.0281049415872,0.0023141008619,74
Ventral auditory area,L5 IT,0.0280653034684,0.000243684724599,4312
Posterolateral visual area,Low quality,0.0280237006017,0.00031243024015,3989
Supplemental somatosensory area,Car3,0.0278068178079,0.000853949380825,440
Posterolateral visual area,NA,0.027805758455,0.000136189912298,22980
Temporal association areas,COA,0.0277466101872,0.00104790903709,572
Ectorhinal area,BLAa,0.0276960859766,0.000841987482426,143
Anterolateral visual area,Unclear,0.0276960293266,0.00385460201966,107
Laterointermediate area,ENT L6b,0.0276611646016,0.00257283089946,6
Ectorhinal area,LA,0.0276518849766,0.00131468177367,119
